date,yield
2026-04-16,6.888
2026-04-17,6.894
2026-04-19,6.914
2026-04-20,6.907
2026-04-21,6.898
2026-04-22,6.886
2026-04-23,6.909
2026-04-24,6.949
2026-04-25,6.984
2026-04-26,6.984
2026-04-27,6.984
2026-04-28,6.953
2026-04-29,6.981
2026-04-30,6.998
2026-05-01,7.058
2026-05-02,7.058
2026-05-03,7.058
2026-05-04,7.058
2026-05-05,7.007
2026-05-06,7.04
2026-05-07,6.94
2026-05-08,6.92
2026-05-09,6.961
2026-05-10,6.961
2026-05-11,6.961
2026-05-12,7.03
2026-05-13,7.05
2026-05-14,7.05
2026-05-15,7.035
2026-05-16,7.088
2026-05-17,7.088
2026-05-18,7.088
2026-05-19,7.121
2026-05-20,7.115
2026-05-21,7.101
2026-05-22,7.099
2026-05-23,7.085
2026-05-24,7.085
2026-05-25,7.085
2026-05-26,7.032
2026-05-27,7.038
2026-05-28,6.983
2026-05-29,6.983
2026-05-30,6.996
2026-05-31,6.996
2026-06-01,6.996
2026-06-02,7.025
2026-06-03,7.003
2026-06-04,7.016
2026-06-05,6.95
2026-06-06,6.952
2026-06-07,6.952
2026-06-08,6.952
2026-06-09,6.968
2026-06-10,6.905
2026-06-11,6.918
2026-06-12,6.932
2026-06-13,6.886
2026-06-14,6.886
2026-06-15,6.886
2026-06-16,6.871
2026-06-17,6.879
2026-06-18,6.857
2026-06-19,6.839
2026-06-20,6.85
2026-06-21,6.85
2026-06-22,6.85
2026-06-23,6.853
2026-06-24,6.837
2026-06-25,6.8
2026-06-26,6.768
2026-06-27,6.768
2026-06-28,6.768
